Id,MarketPlaceValuation,MarketPlaceOffer,MarketPlaceEGP,DirectValuation,DirectOffer,DirectEGP,GrossProfit,Type
3362934,100,0,50,165,115,50,50,Direct
3375351,250,55,35,115,80,35,35,Direct
3358071,200,10,35,165,130,35,35,Direct
3374254,100,0,50,205,155,50,50,Direct
3377612,325,125,50,285,235,50,50,Direct
3310329,175,0,35,100,65,35,35,Direct
3374561,150,0,20,175,155,20,20,Direct
3268511,125,0,35,150,115,35,35,Direct
3360975,225,30,50,280,230,50,50,Direct
3389003,325,90,75,385,310,75,75,Direct
3392562,625,255,370,955,585,370,370,Direct
3404028,100,0,35,175,140,35,35,Direct
3355796,75,0,35,175,140,35,35,Direct
3411133,100,0,33,108,75,33,33,Direct
3413907,200,10,35,150,115,35,35,Direct
3415592,225,35,35,240,205,35,35,Direct
3399543,150,0,35,155,120,35,35,Direct
3403938,100,0,0,5,5,0,0,Direct
3416587,100,0,35,225,190,35,35,Direct
3417306,200,15,50,280,230,50,50,Direct
3419813,325,70,20,160,140,20,20,Direct
3384019,250,55,36,116,80,36,36,Direct
3408003,125,0,35,140,105,35,35,Direct
3420410,100,0,50,280,230,50,50,Direct
3420546,225,35,35,260,225,35,35,Direct
3418781,225,15,50,200,150,50,50,Direct
3426844,125,0,35,225,190,35,35,Direct
3388551,150,0,35,155,120,35,35,Direct
3403242,50,0,35,140,105,35,35,Direct
3405765,150,0,35,185,150,35,35,Direct
3407488,225,35,35,250,215,35,35,Direct
3408122,150,0,35,130,95,35,35,Direct
3412602,75,0,35,245,210,35,35,Direct
3413738,25,0,35,225,190,35,35,Direct
3414325,100,0,33,158,125,33,33,Direct
3424836,100,0,35,260,225,35,35,Direct
3396838,225,30,35,135,100,35,35,Direct
3406989,50,0,35,160,125,35,35,Direct
3409440,150,0,20,80,60,20,20,Direct
3412171,225,30,50,325,275,50,50,Direct
3412682,425,120,35,195,160,35,35,Direct
3412750,100,0,35,225,190,35,35,Direct
3416719,275,85,35,275,240,35,35,Direct
3423212,200,0,50,325,275,50,50,Direct
3393410,250,60,22,87,65,22,22,Direct
3394777,500,175,75,340,265,75,75,Direct
3399843,225,35,35,125,90,35,35,Direct
3404737,400,145,50,200,150,50,50,Direct
3382475,75,0,35,225,190,35,35,Direct
3418160,200,15,35,150,115,35,35,Direct
3423572,150,0,50,325,275,50,50,Direct
3393474,100,0,35,240,205,35,35,Direct
3425430,75,0,35,225,190,35,35,Direct
3426966,125,0,40,200,160,40,40,Direct
3393414,250,50,50,240,190,50,50,Direct
3419750,300,70,50,340,290,50,50,Direct
3420852,50,0,35,260,225,35,35,Direct
3423453,200,0,35,175,140,35,35,Direct
3424789,250,40,35,175,140,35,35,Direct
3401443,425,115,280,695,415,280,280,Direct
3408204,150,0,35,120,85,35,35,Direct
3413450,275,45,50,320,270,50,50,Direct
3419091,125,0,20,140,120,20,20,Direct
3422644,125,0,35,260,225,35,35,Direct
3423912,75,0,35,225,190,35,35,Direct
3424014,300,0,35,145,110,35,35,Direct
3424805,200,0,35,240,205,35,35,Direct
3425014,200,0,35,145,110,35,35,Direct
3381741,75,0,50,375,325,50,50,Direct
